title,price,link
"Lenovo IdeaPad Slim 3 13th Gen Intel Core i7 13620H, 16GB RAM, 512GB SSD, WUXGA IPS, 15.3""/38.8cm, Win 11, Office 2024, Top Metal Cover Grey, 1.6Kg, 83K100CJIN/S1IN, Backlit KB, Laptop","81,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfYXRmX25leHQ6MzAwNTM0OTM1MDczNDMyOjowOjo&url=%2FLenovo-Smartchoice-I7-13620H-Keyboard-83K100CJIN%2Fdp%2FB0F2162VGQ%2Fref%3Dsr_1_17_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-17-spons%26aref%3DKkFwhIhGgG%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=KkFwhIhGgG&sp_cr=ZAZ
"Lenovo IdeaPad Slim 5, AMD Ryzen 5 7535HS, 16GB RAM, 512GB SSD, WUXGA IPS, 13.3""/33.7cm, Windows 11, Microsoft 365 Basic + Office 2024, Grey, 1.6Kg, Backlit KB, 1Yr ADP Free, 83J2004HIN, Laptop","71,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfYXRmX25leHQ6MzAwOTY4MDM2NzA5MTMyOjowOjo&url=%2FLenovo-IdeaPad-Microsoft-Keyboard-83J2004HIN%2Fdp%2FB0FFB6ZZ7F%2Fref%3Dsr_1_18_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-18-spons%26aref%3DJVWuHToPUc%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGZfbmV4dA%26psc%3D1&aref=JVWuHToPUc&sp_cr=ZAZ
"Primebook 2 Max (2026) | 8GB RAM, 256GB UFS Storage | 15.6-Inch Full HD IPS Display | 12hrs Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","29,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfbXRmOjMwMDcwNjM5MjAxMDAzMjo6MDo6&url=%2FPrimebook-Storage-15-6-Inch-MediaTek-Keyboard%2Fdp%2FB0FFMQB3KL%2Fref%3Dsr_1_27_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-27-spons%26aref%3DzUANlRM61Y%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=zUANlRM61Y&sp_cr=ZAZ
"Primebook 2 Pro (2026) | 8GB RAM, 128GB UFS Storage | 14.1-Inch FHD IPS Display | 14 Hours Battery | MediaTek Helio G99 | Android 15 (PrimeOS 3.0) | Backlit Keyboard | in-Built AI (Gray)","26,990",https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxMDcxMTEwMjgyMTE3MTQzOjE3ODQyMTI1Mjg6c3BfbXRmOjMwMDcwNjM5MjAxMDEzMjo6MDo6&url=%2FPrimebook-Storage-14-1-Inch-MediaTek-Keyboard%2Fdp%2FB0FFM8M9B5%2Fref%3Dsr_1_28_sspa%3Fcrid%3D2RKOOCZHIKESC%26dib%3DeyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1784212528%26sprefix%3Dlapt%252Caps%252C337%26sr%3D8-28-spons%26aref%3DNLGjhb5MHj%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9tdGY%26psc%3D1&aref=NLGjhb5MHj&sp_cr=ZAZ
"HP Omnibook 5 OLED (Previously Pavilion), Snapdragon X Processor 45 Tops (16GB LPDDR5x, 1TB SSD) 2K,16''/40.6cm, Win11, Office24, Silver, 1.59kg, fb0001QU, Multi-Day Battery AI Laptop","78,000",https://www.amazon.in/HP-Previously-Snapdragon-Processor-fb0001QU/dp/B0FRM3G9JF/ref=sr_1_29?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-29
"HP 15, Intel Core i3-1315U-13th Gen Laptop (8GB DDR4 Ram,512GB SSD) Anti-Glare, Micro-Edge,15.6'"" FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera Shutter, 15-fd0569TU","49,490",https://www.amazon.in/HP-i3-1315U-13th-Anti-Glare-Micro-Edge-fd0569TU/dp/B0FKN7Z65N/ref=sr_1_30?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-30
"HP 15, (i3 14th Gen) Intel Core 3 100U (8GB DDR5, 512GB SSD), Micro-Edge, Anti-Glare, 15.6''/39.6cm, Win11, M365* Office24, Silver, 1.59kg, fd1225tu, FHD Camera, Dual Speakers Laptop","67,662",https://www.amazon.in/HP-Micro-Edge-Anti-Glare-Office24-fd0883TU/dp/B0G8HBRT27/ref=sr_1_31?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-31
"HP OmniBook 3, AMD Ryzen AI 5 330 (24GB DDR5 RAM, 1TB SSD) FHD, Anti-Glare, 15.6''/39.6cm, Win11, Office24, Glacier Silver,1.7kg, fn0074AU, FHD Camera w/Shutter, FPR, Backlit KB, Next Gen AI Laptop","72,990",https://www.amazon.in/HP-OmniBook-Anti-Glare-Office24-fn0074AU/dp/B0GLGP1TNT/ref=sr_1_32?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-32
"HP Smartchoice Victus, AMD Ryzen 7 7445HS, 6GB RTX 3050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, 300 nits, 15.6''/39.6cm, Win 11, Office 24, Blue, 2.29kg, fb3134/20ax, Xbox Gamepass*, Gaming Laptop","85,990",https://www.amazon.in/HP-Smartchoice-Victus-Upgradeable-Gamepass/dp/B0GWQ7MQ1Q/ref=sr_1_33?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-33
"HP 15 Laptop, AMD Ryzen 5 7520U (16GB DDR5,512GB SSD) Win11,M365 Basic(1yr)*Office Home24, Anti-Glare,15.6''/39.6cm,FHD,Backlit KB,FHD Camera w/Privacy Shutter,Radeon Graphics, Silver,1.59kg FC0690AU","55,990",https://www.amazon.in/HP-15-6-inch-Graphics-Privacy-fc0031AU/dp/B0C3D8BZVQ/ref=sr_1_34?crid=2RKOOCZHIKESC&dib=eyJ2IjoiMSJ9.a8TAdB2n3XSbwR9h-VNoU8Y5MwJ_-gblDJDdkF3FvbNNsj1mwI_gaWdl2C3UKX3t2Z1FS-dHApGpzjtA621HXlBvYNonkZi90Np2IZpp8W9f0bs46QbY12s9FOd2qWsPerqvirFMpTO4lBL1zTGgiBDopB99Eq8Ca5TO3mGHK4SarGgdad90rvEOVxWFux8pT4BFLKbhcsCSjQuNy6ApKwuwU47nAQvNV-d8gSFzNiM.YycVzi64SfUD5S8bIj6ow_nqo70atYleqHyAHC6aqnk&dib_tag=se&keywords=laptop&qid=1784212528&sprefix=lapt%2Caps%2C337&sr=8-34
